Code,D_P,Description
A00,D,Cólera
A000,D,"Cólera debido a Vibrio cholerae 01, biotipo cholerae"
A001,D,"Cólera debido a Vibrio cholerae 01, biotipo El Tor"
A009,D,"Cólera, no especificado"
A01,D,Fiebres tifoidea y paratifoidea
A010,D,Fiebre tifoidea
A0100,D,"Fiebre tifoidea, no especificada"
A0101,D,Meningitis tifoidea
A0102,D,Fiebre tifoidea con afectación cardiaca
A0103,D,Neumonía tifoidea
A0104,D,Artritis tifoidea
A0105,D,Osteomielitis tifoidea
A0109,D,Fiebre tifoidea con otras complicaciones
A011,D,Fiebre paratifoidea A
A012,D,Fiebre paratifoidea B
A013,D,Fiebre paratifoidea C
A014,D,"Fiebre paratifoidea, no especificada"
A02,D,Otras infecciones debidas a Salmonella
A020,D,Enteritis debida a Salmonella
A021,D,Sepsis debida a Salmonella
A022,D,Infecciones localizadas debidas a Salmonella
A0220,D,"Infecciones localizadas debidas a Salmonella, no especificadas"
A0221,D,Meningitis por Salmonella
A0222,D,Neumonía por Salmonella
A0223,D,Artritis por Salmonella
A0224,D,Osteomielitis por Salmonella
A0225,D,Pielonefritis por Salmonella
A0229,D,Salmonella con otra infección localizada
A028,D,Otras infecciones especificadas debidas a Salmonella
A029,D,"Infección debida a Salmonella, no especificada"
A03,D,Shigelosis
A030,D,Shigelosis debida a Shigella dysenteriae
A031,D,Shigelosis debida a Shigella flexneri
A032,D,Shigelosis debida a Shigella boydii
A033,D,Shigelosis debida a Shigella sonnei
A038,D,Otras shigelosis
A039,D,Shigelosis de tipo no especificado
A04,D,Otras infecciones intestinales bacterianas
A040,D,Infección debida a Escherichia coli enteropatógena
A041,D,Infección debida a Escherichia coli enterotoxígena
A042,D,Infección debida a Escherichia coli enteroinvasiva
A043,D,Infección debida a Escherichia coli enterohemorrágica
A044,D,Otras infecciones intestinales debidas a Escherichia coli
A045,D,Enteritis debida a Campylobacter
A046,D,Enteritis debida a Yersinia enterocolítica
A047,D,Enterocolitis debida a Clostridium difficile
A0471,D,"Enterocolitis debida a Clostridium difficile, recurrente"
A0472,D,"Enterocolitis debida a Clostridium difficile, no especificada como recurrente"
A048,D,Otras infecciones intestinales bacterianas especificadas
A049,D,"Infección intestinal bacteriana, no especificada"
A05,D,"Otras intoxicaciones alimentarias bacterianas, no clasificadas bajo otro concepto"
A050,D,Intoxicación alimentaria estafilocócica
A051,D,Intoxicación alimentaria debida a botulismo
A052,D,Intoxicación alimentaria debida a Clostridium perfringens [Clostridium welchii]
A053,D,Intoxicación alimentaria debida a Vibrio parahaemolyticus
A054,D,Intoxicación alimentaria debida a Bacillus cereus
A055,D,Intoxicación alimentaria debida a Vibrio vulnificus
A058,D,Otras intoxicaciones alimentarias debidas a bacterias especificadas
A059,D,"Intoxicación alimentaria bacteriana, no especificada"
A06,D,Amebiasis
A060,D,Disentería amebiana aguda
A061,D,Amebiasis intestinal crónica
A062,D,Colitis amebiana no disentérica
A063,D,Ameboma intestinal
A064,D,Absceso amebiano del hígado
A065,D,Absceso amebiano del pulmón
A066,D,Absceso amebiano del cerebro
